function,category,original_line,current_line,variants
function_4089c0,已修改／替换的非空实现,19026,18005,1
function_408b10,保留原反编译函数体,19131,18039,1
function_408b30,已修改／替换的非空实现,19138,18046,2
function_408bf0,已修改／替换的非空实现,19164,18092,2
function_408c80,已修改／替换的非空实现,19183,18103,1
function_408d00,已修改／替换的非空实现,19256,18140,2
function_408e60,已修改／替换的非空实现,19285,18183,1
function_408e80,已修改／替换的非空实现,19292,18188,1
function_408eb0,已修改／替换的非空实现,19309,18194,1
function_409030,原版即为简单返回／空函数,19376,18200,1
function_4090a0,保留原反编译函数体,19382,18206,1
function_4090d0,保留原反编译函数体,19398,18222,1
function_409130,保留原反编译函数体,19416,18240,1
function_4093b0,保留原反编译函数体,19518,18342,1
function_4093f0,保留原反编译函数体,19531,18355,1
function_409450,保留原反编译函数体,19555,18379,1
function_409480,保留原反编译函数体,19576,18400,1
function_4094b0,保留原反编译函数体,19608,18432,1
function_4094e0,保留原反编译函数体,19642,18466,1
function_409540,保留原反编译函数体,19667,18491,1
function_409620,保留原反编译函数体,19735,18559,1
function_4096d0,保留原反编译函数体,19765,18589,2
function_409840,保留原反编译函数体,19868,18692,1
function_4098a0,保留原反编译函数体,19898,18722,1
function_409930,保留原反编译函数体,19954,18778,1
function_4099c0,保留原反编译函数体,19996,18820,1
function_409da0,保留原反编译函数体,20216,19040,1
function_40a0f0,已修改／替换的非空实现,20528,21074,1
function_40a3d0,已修改／替换的非空实现,20713,21084,1
function_40a460,已修改／替换的非空实现,20733,21139,1
function_40a5d0,保留原反编译函数体,20886,21174,1
function_40a5f0,已修改／替换的非空实现,20893,21181,1
function_40a6c0,已修改／替换的非空实现,20957,21245,1
function_40a7f0,已修改／替换的非空实现,21009,21297,1
function_40a890,已修改／替换的非空实现,21049,21337,1
function_40a8d0,已修改／替换的非空实现,21064,21352,1
function_40a950,已修改／替换的非空实现,21099,21387,1
function_40a9a0,已修改／替换的非空实现,21118,21406,1
function_40a9f0,已修改／替换的非空实现,21137,21425,1
function_40aaa0,已修改／替换的非空实现,21198,21436,1
function_40aac0,已修改／替换的非空实现,21210,21451,1
function_40aae0,已修改／替换的非空实现,21221,21476,1
function_40adb0,已修改／替换的非空实现,21545,21488,1
function_40ae70,已修改／替换的非空实现,21592,21535,1
function_40af70,保留原反编译函数体,21712,21655,1
function_40af80,保留原反编译函数体,21722,21665,1
function_40afb0,保留原反编译函数体,21735,21678,1
function_40afe0,已修改／替换的非空实现,21750,21693,1
function_40b160,已修改／替换的非空实现,21859,21802,1
function_40b210,已修改／替换的非空实现,21921,21864,1
function_40b2c0,保留原反编译函数体,21964,21907,1
function_40b2d0,保留原反编译函数体,21976,21919,1
function_40b3a0,已修改／替换的非空实现,21997,21940,1
function_40b520,已修改／替换的非空实现,22123,21948,1
function_40b6f0,保留原反编译函数体,22303,21953,1
function_40b760,保留原反编译函数体,22387,22037,1
function_411b90,保留原反编译函数体,22403,22053,2
function_40b840,保留原反编译函数体,22435,22085,1
function_40b8a0,已修改／替换的非空实现,22460,22110,1
function_40b9a0,保留原反编译函数体,22589,22116,1
function_40ba20,已修改／替换的非空实现,22638,22165,1
function_40bb70,已修改／替换的非空实现,22715,22242,1
function_40bbf0,保留原反编译函数体,22749,22276,1
function_40bc00,已修改／替换的非空实现,22759,22286,1
function_40bd10,已修改／替换的非空实现,22835,22362,1
function_40bd90,保留原反编译函数体,22869,22396,1
function_40bda0,保留原反编译函数体,22877,22404,1
function_40bdf0,保留原反编译函数体,22919,22446,1
function_40be40,保留原反编译函数体,22963,22490,1
function_40be70,保留原反编译函数体,22976,22503,1
function_40bea0,保留原反编译函数体,22991,22518,1
function_40bed0,保留原反编译函数体,23004,22531,1
function_40bf00,保留原反编译函数体,23017,22544,1
function_40c010,保留原反编译函数体,23075,22602,1
function_40c2e0,保留原反编译函数体,23283,22810,1
function_4429b0,原版即为简单返回／空函数,23286,22813,6
function_40c370,保留原反编译函数体,23296,22823,1
function_40c410,已修改／替换的非空实现,23326,22853,1
function_40c4b0,保留原反编译函数体,23347,22874,1
function_40c5f0,保留原反编译函数体,23412,22939,1
function_40c670,原版即为简单返回／空函数,23452,22979,1
function_40c6d0,保留原反编译函数体,23460,22987,1
function_40c790,保留原反编译函数体,23528,23055,1
function_40c870,保留原反编译函数体,23610,23137,1
function_40c8a0,保留原反编译函数体,23623,23150,1
function_40c900,保留原反编译函数体,23647,23174,1
function_40ca50,保留原反编译函数体,23754,23281,1
function_40cba0,已修改／替换的非空实现,23861,23388,1
function_40cc80,保留原反编译函数体,23942,23469,1
function_40ccc0,保留原反编译函数体,23957,23484,1
function_40cdd0,原版即为简单返回／空函数,24010,23537,1
function_40ce60,保留原反编译函数体,24016,23543,1
function_40d0a0,保留原反编译函数体,24142,23669,1
function_40d1e0,保留原反编译函数体,24256,23783,1
function_40d240,保留原反编译函数体,24290,23817,1
function_40d2f0,保留原反编译函数体,24341,23868,1
function_40d330,保留原反编译函数体,24372,23899,1
function_40d400,保留原反编译函数体,24411,23938,1
function_40d500,保留原反编译函数体,24536,24063,1
function_40d520,保留原反编译函数体,24553,24080,1
function_40d560,保留原反编译函数体,24571,24098,1
function_40d590,保留原反编译函数体,24581,24108,1
function_40d5b0,保留原反编译函数体,24590,24117,1
function_40d5e0,已修改／替换的非空实现,24608,24135,1
function_40d790,已修改／替换的非空实现,24690,24217,2
function_40d940,已修改／替换的非空实现,24824,24392,1
function_40da60,已修改／替换的非空实现,24892,24493,1
function_40db30,已修改／替换的非空实现,24943,24556,1
function_40dbe0,已修改／替换的非空实现,25084,24595,1
function_40df60,已修改／替换的非空实现,25365,24600,1
function_40e130,已修改／替换的非空实现,25645,25052,1
function_40e220,已修改／替换的非空实现,25749,25094,1
function_40e2b0,已修改／替换的非空实现,25789,25125,1
function_40e2d0,已修改／替换的非空实现,25801,25140,1
function_40e2f0,保留原反编译函数体,25813,25155,1
function_40e320,已修改／替换的非空实现,25825,25167,1
function_40e3f0,保留原反编译函数体,26032,25222,1
function_40e460,已修改／替换的非空实现,26068,25258,1
function_40e540,已修改／替换的非空实现,26128,25320,1
function_40e590,已修改／替换的非空实现,26150,25333,1
function_40e5d0,已修改／替换的非空实现,26161,25344,2
function_40e630,已修改／替换的非空实现,26181,25365,1
function_40e850,已修改／替换的非空实现,26313,25514,1
function_40eae0,已修改／替换的非空实现,26434,25637,1
function_40ebf0,保留原反编译函数体,26479,25682,1
function_40ec30,保留原反编译函数体,26494,25697,1
function_40ec70,保留原反编译函数体,26511,25714,1
function_40ed40,保留原反编译函数体,26563,25766,1
function_40ee30,保留原反编译函数体,26674,25877,1
function_40efd0,保留原反编译函数体,26806,26009,1
function_40f130,保留原反编译函数体,26867,26070,1
function_40f1c0,已修改／替换的非空实现,26936,26139,1
function_40f2e0,保留原反编译函数体,27015,26218,1
function_40f370,已修改／替换的非空实现,27095,26298,1
function_40f5e0,已修改／替换的非空实现,27154,26357,1
function_40f790,已修改／替换的非空实现,27182,26385,1
function_40fe30,保留原反编译函数体,27508,26711,1
function_40ffb0,保留原反编译函数体,27648,26851,1
function_4100c0,保留原反编译函数体,27879,27082,1
function_4100f0,已修改／替换的非空实现,27900,27103,1
function_410110,保留原反编译函数体,27919,27122,1
function_410160,保留原反编译函数体,27941,27144,1
function_410190,保留原反编译函数体,27949,27152,1
function_4101a0,保留原反编译函数体,27956,27159,1
function_4101e0,保留原反编译函数体,27967,27170,1
function_410230,保留原反编译函数体,27985,27188,1
function_410260,保留原反编译函数体,28006,27209,1
function_410270,已修改／替换的非空实现,28015,27218,1
function_4103b0,已修改／替换的非空实现,28061,27264,1
function_410480,保留原反编译函数体,28084,27287,1
function_410500,已修改／替换的非空实现,28104,27405,1
function_410750,已修改／替换的非空实现,28212,27496,1
function_4109a0,保留原反编译函数体,28308,27529,1
function_4109d0,已修改／替换的非空实现,28327,27549,1
function_410b90,已修改／替换的非空实现,28460,27592,1
function_410c00,已修改／替换的非空实现,28498,27634,1
function_410c80,保留原反编译函数体,28530,27673,1
function_410cb0,保留原反编译函数体,28547,27690,1
function_410d90,保留原反编译函数体,28620,27763,1
function_410e00,保留原反编译函数体,28654,27797,1
function_410e80,保留原反编译函数体,28684,27827,1
function_410ef0,保留原反编译函数体,28756,27899,1
function_411000,保留原反编译函数体,28800,27943,1
function_411040,保留原反编译函数体,28842,27985,1
function_411100,已修改／替换的非空实现,28987,28130,1
function_411390,保留原反编译函数体,29379,28522,1
function_4113f0,保留原反编译函数体,29413,28556,1
function_411450,保留原反编译函数体,29432,28575,1
function_411520,保留原反编译函数体,29513,28656,1
function_411720,保留原反编译函数体,29793,28936,1
function_411870,保留原反编译函数体,29934,29077,1
function_411930,保留原反编译函数体,30059,29202,1
function_411980,保留原反编译函数体,30076,29219,1
function_4119a0,保留原反编译函数体,30088,29231,1
function_4119e0,保留原反编译函数体,30108,29251,1
function_411a10,保留原反编译函数体,30125,29268,1
function_411ff0,原版即为简单返回／空函数,30128,29271,3
function_411aa0,保留原反编译函数体,30138,29281,1
function_411d10,保留原反编译函数体,30322,29465,1
function_411d30,保留原反编译函数体,30335,29478,1
function_411d80,已修改／替换的非空实现,30349,29492,1
function_411f90,保留原反编译函数体,30423,29620,1
function_412060,保留原反编译函数体,30461,29658,1
function_4120c0,保留原反编译函数体,30474,29671,1
function_4120d0,已修改／替换的非空实现,30481,29678,1
function_412210,原版即为简单返回／空函数,30560,29757,1
function_412240,已修改／替换的非空实现,30566,29763,1
function_412350,保留原反编译函数体,30729,29927,1
function_4123a0,保留原反编译函数体,30739,29937,1
function_4123c0,原版即为简单返回／空函数,30746,29944,1
function_4123e0,已修改／替换的非空实现,30752,29950,1
function_4125d0,原版即为简单返回／空函数,30782,29982,1
function_4125e0,已修改／替换的非空实现,30788,29988,1
function_412610,保留原反编译函数体,30799,29999,1
function_412660,保留原反编译函数体,30829,30029,1
function_412680,保留原反编译函数体,30842,30042,1
function_412720,保留原反编译函数体,30879,30079,1
function_4127b0,保留原反编译函数体,30911,30111,1
function_412890,已修改／替换的非空实现,30934,30134,1
function_412ad0,已修改／替换的非空实现,31094,30331,1
function_412b80,已修改／替换的非空实现,31216,30500,1
function_412c10,已修改／替换的非空实现,31247,30544,1
function_412ca0,已修改／替换的非空实现,31290,30576,1
function_412d30,保留原反编译函数体,31302,30594,1
function_412da0,保留原反编译函数体,31316,30608,1
function_412ef0,保留原反编译函数体,31374,30666,1
function_413000,保留原反编译函数体,31433,30725,1
function_4130a0,保留原反编译函数体,31508,30800,1
function_4131b0,保留原反编译函数体,31580,30872,1
function_4131e0,保留原反编译函数体,31598,25057,2
function_413470,保留原反编译函数体,31761,31053,1
function_4134e0,保留原反编译函数体,31785,31077,1
function_413500,已修改／替换的非空实现,31799,31091,1
function_413f18,保留原反编译函数体,32552,31848,1
function_414010,已修改／替换的非空实现,32582,31878,1
function_4141e0,保留原反编译函数体,32620,31945,1
function_4145b0,已修改／替换的非空实现,33409,32734,1
function_4146a0,已修改／替换的非空实现,33438,32765,1
function_414850,已修改／替换的非空实现,33464,32793,1
function_414930,已修改／替换的非空实现,33479,32810,1
function_414a30,保留原反编译函数体,33494,32827,1
function_414ad0,保留原反编译函数体,33527,32860,1
function_414b80,保留原反编译函数体,33572,32905,1
function_414c10,保留原反编译函数体,33621,32954,1
function_414c70,保留原反编译函数体,33661,32994,1
function_414cb0,保留原反编译函数体,33676,33009,1
function_414d60,原版即为简单返回／空函数,33712,33045,1
function_414d80,保留原反编译函数体,33720,33053,1
function_414db0,原版即为简单返回／空函数,33751,33084,1
function_414dd0,保留原反编译函数体,33759,33092,1
function_414e00,保留原反编译函数体,33790,33123,1
function_414e10,保留原反编译函数体,33799,33132,1
function_414e40,保留原反编译函数体,33808,33141,1
function_414e50,保留原反编译函数体,33817,33150,1
function_414e80,保留原反编译函数体,33826,33159,1
function_414ed0,保留原反编译函数体,33852,33185,1
function_414fa0,保留原反编译函数体,33927,33260,1
function_414fe0,保留原反编译函数体,33946,33279,1
function_415070,保留原反编译函数体,33986,33319,1
function_4150a0,原版即为简单返回／空函数,33999,33332,1
function_4150b0,保留原反编译函数体,34007,33340,1
function_4150e0,保留原反编译函数体,34022,33355,1
function_415110,保留原反编译函数体,34034,33367,1
function_415130,保留原反编译函数体,34048,33381,2
function_415190,保留原反编译函数体,34065,33398,1
function_4151a0,保留原反编译函数体,34073,33406,1
function_4151d0,保留原反编译函数体,34088,33421,1
function_4151e0,保留原反编译函数体,34094,33427,1
function_4151f0,保留原反编译函数体,34102,33435,1
function_415220,保留原反编译函数体,34118,33451,1
function_415230,保留原反编译函数体,34126,33459,1
function_4152a0,保留原反编译函数体,34143,33476,1
function_415350,已修改／替换的非空实现,34176,33509,1
function_48a6f0,保留原反编译函数体,34180,33513,6
function_4153e0,保留原反编译函数体,34206,33539,1
function_415420,保留原反编译函数体,34220,33553,1
function_415480,保留原反编译函数体,34247,33580,1
function_415550,保留原反编译函数体,34281,33614,1
function_4155d0,保留原反编译函数体,34298,33639,1
function_4156d0,保留原反编译函数体,34332,33673,1
function_415750,保留原反编译函数体,34353,33694,1
function_415790,保留原反编译函数体,34370,33711,1
function_415810,已修改／替换的非空实现,34395,33738,1
function_415870,保留原反编译函数体,34406,33745,1
function_4158e0,保留原反编译函数体,34420,33759,1
function_4159a0,保留原反编译函数体,34459,33798,1
function_4159d0,保留原反编译函数体,34479,33818,1
function_4159f0,保留原反编译函数体,34494,33833,1
function_415b00,保留原反编译函数体,34533,33872,1
function_48afc0,原版即为简单返回／空函数,34540,33879,1
function_415b50,原版即为简单返回／空函数,34550,33889,1
function_415b80,保留原反编译函数体,34558,33897,1
function_415c50,保留原反编译函数体,34592,33931,1
function_415e20,已修改／替换的非空实现,34945,34284,1
function_415ea0,已修改／替换的非空实现,34955,34294,1
function_415f60,已修改／替换的非空实现,34982,34321,1
function_415fd0,保留原反编译函数体,35004,34343,2
function_416427,原版即为简单返回／空函数,35253,34592,1
function_41642d,原版即为简单返回／空函数,35259,34598,1
function_416440,保留原反编译函数体,35267,34606,1
function_416510,保留原反编译函数体,35328,34667,1
function_416700,保留原反编译函数体,35451,34790,1
function_416790,已修改／替换的非空实现,35489,34828,1
function_416b8d,原版即为简单返回／空函数,35596,34937,1
function_416b93,保留原反编译函数体,35602,34943,1
function_416b98,原版即为简单返回／空函数,35609,34950,1
function_416ba0,保留原反编译函数体,35615,34956,1
function_416bd0,保留原反编译函数体,35626,34967,1
function_416bf0,保留原反编译函数体,35642,34983,1
function_416c50,保留原反编译函数体,35666,35007,1
function_416c60,保留原反编译函数体,35675,35016,1
function_416ce0,保留原反编译函数体,35715,35056,1
function_416d60,原版即为简单返回／空函数,35755,35096,1
function_416d70,原版即为简单返回／空函数,35761,35102,1
function_416d80,原版即为简单返回／空函数,35767,35108,1
function_416d90,原版即为简单返回／空函数,35773,35114,1
function_416da0,原版即为简单返回／空函数,35779,35120,1
function_416db0,保留原反编译函数体,35785,35126,1
function_416de0,保留原反编译函数体,35801,35142,1
function_416ec0,保留原反编译函数体,35903,35244,1
function_416fa0,保留原反编译函数体,36019,35360,1
function_416fd0,保留原反编译函数体,36030,35371,1
function_417000,保留原反编译函数体,36041,35382,1
function_417010,保留原反编译函数体,36048,35389,1
function_417100,保留原反编译函数体,36097,35438,1
function_4173c0,原版即为简单返回／空函数,36227,35568,1
function_4173d0,已修改／替换的非空实现,36233,35574,1
function_417420,原版即为简单返回／空函数,36250,35591,1
function_417430,保留原反编译函数体,36256,35597,1
function_4174f0,保留原反编译函数体,36279,35620,1
function_4175f0,保留原反编译函数体,36304,35645,1
function_417a00,保留原反编译函数体,36675,36016,1
function_417a30,已修改／替换的非空实现,36688,36029,1
function_417c90,保留原反编译函数体,37011,36352,1
function_417d00,保留原反编译函数体,37045,36386,1
function_417d30,保留原反编译函数体,37062,36403,1
function_417d70,保留原反编译函数体,37080,36421,1
function_417da0,保留原反编译函数体,37093,36434,1
function_417dd0,保留原反编译函数体,37107,36448,1
function_417e30,保留原反编译函数体,37136,36477,1
function_417e50,保留原反编译函数体,37147,36488,1
function_417ee0,保留原反编译函数体,37198,36539,2
function_4180a0,保留原反编译函数体,37327,36668,1
function_4180c0,保留原反编译函数体,37339,36680,1
function_4180e0,已修改／替换的非空实现,37351,36692,1
function_418370,保留原反编译函数体,37745,37086,1
function_418400,保留原反编译函数体,37809,37150,1
function_418410,保留原反编译函数体,37816,37157,4
function_418430,保留原反编译函数体,37825,37166,1
function_418480,保留原反编译函数体,37859,37200,1
function_4184d0,保留原反编译函数体,37878,37219,1
function_4184e0,保留原反编译函数体,37885,37226,1
function_4184f0,保留原反编译函数体,37892,37233,1
function_418500,已修改／替换的非空实现,37899,37240,1
function_4185b0,保留原反编译函数体,37967,37308,1
function_418660,保留原反编译函数体,38001,37342,1
function_418750,保留原反编译函数体,38047,37388,1
function_418820,保留原反编译函数体,38193,37534,1
function_418880,保留原反编译函数体,38227,37568,1
function_4188e0,保留原反编译函数体,38246,37587,1
function_418980,保留原反编译函数体,38382,37723,1
function_4189d0,保留原反编译函数体,38434,37775,1
function_4189f0,保留原反编译函数体,38441,37782,1
function_418a10,保留原反编译函数体,38450,37791,1
function_418a20,保留原反编译函数体,38459,37800,1
function_418a30,已修改／替换的非空实现,38468,37809,1
function_418a80,已修改／替换的非空实现,38488,37829,1
function_418ad0,已修改／替换的非空实现,38508,37849,1
function_418b20,保留原反编译函数体,38528,37869,1
function_418b70,保留原反编译函数体,38546,37887,1
function_418bd0,保留原反编译函数体,38584,37925,1
function_418bf0,保留原反编译函数体,38591,37932,1
function_418c10,保留原反编译函数体,38599,37940,1
function_418cc0,保留原反编译函数体,38634,37975,1
function_418d20,保留原反编译函数体,38705,38046,1
function_418e60,保留原反编译函数体,38814,38155,1
function_418fa0,保留原反编译函数体,38860,38201,1
function_4190e0,保留原反编译函数体,38906,38247,1
function_419150,保留原反编译函数体,38920,38261,1
function_419290,保留原反编译函数体,39029,38370,1
function_4192d0,保留原反编译函数体,39041,38382,1
function_4192e0,保留原反编译函数体,39049,38390,1
function_419450,保留原反编译函数体,39169,38510,1
function_419510,保留原反编译函数体,39243,38584,1
function_4195d0,原版即为简单返回／空函数,39279,38620,1
function_4195f0,保留原反编译函数体,39285,38626,1
function_419740,保留原反编译函数体,39445,38786,1
function_419970,保留原反编译函数体,39710,39051,1
function_419a8f,保留原反编译函数体,39775,39116,1
function_419aa0,保留原反编译函数体,39782,39123,1
function_419b00,保留原反编译函数体,39813,39154,1
function_419c50,保留原反编译函数体,39869,39210,1
function_419ce0,保留原反编译函数体,39890,39231,1
function_419d10,保留原反编译函数体,39898,39239,1
function_419d30,原版即为简单返回／空函数,39907,39248,1
function_419d40,保留原反编译函数体,39913,39254,1
function_419dd0,保留原反编译函数体,39934,39275,1
function_419e49,保留原反编译函数体,39957,39298,1
function_419f50,保留原反编译函数体,39986,39327,1
