function,category,original_line,current_line,cpp_locations
function_41bc30,unchanged_decompiled_body,41760,39154,
function_41c7b0,modified_nonempty_body,43628,41022,
function_41c870,unchanged_decompiled_body,43677,41071,
function_41d570,unchanged_decompiled_body,45751,43145,
function_41d5c0,modified_nonempty_body,45788,43182,
function_41d610,unchanged_decompiled_body,45804,43198,
function_41d630,unchanged_decompiled_body,45812,43206,
function_41d770,unchanged_decompiled_body,45921,43315,
function_41d9b0,unchanged_decompiled_body,46170,43564,
function_41da60,unchanged_decompiled_body,46187,43581,
function_41dbc0,unchanged_decompiled_body,46338,43732,
function_41dc80,modified_nonempty_body,46351,43745,
function_41de70,modified_nonempty_body,46475,43869,
function_41df30,original_short_body,46542,43936,
function_41df40,original_short_body,46550,43944,
function_41df50,original_short_body,46558,43952,
function_41df60,original_short_body,46564,43958,
function_41df70,modified_nonempty_body,46570,43964,
function_41e0c0,modified_nonempty_body,46708,44102,
function_41e190,unchanged_decompiled_body,46735,44129,
function_41e1e0,unchanged_decompiled_body,46755,44149,
function_41e200,unchanged_decompiled_body,46772,44166,
function_41e260,cpp_address_replacement,46791,,src/squirrel/squirrel_native_calls.cpp:107
function_48ce00,modified_nonempty_body,46794,134192,src/squirrel/squirrel_legacy_api.cpp:344
function_41e2c0,cpp_address_replacement,46805,,src/squirrel/squirrel_native_calls.cpp:108
function_41e320,unchanged_decompiled_body,46820,44191,
function_41e390,modified_nonempty_body,46838,44209,
function_41e790,modified_nonempty_body,47036,44407,
function_41ea50,unchanged_decompiled_body,47087,44458,
function_41eca0,unchanged_decompiled_body,47275,44646,
function_41eed0,unchanged_decompiled_body,47373,44744,
function_41ef20,unchanged_decompiled_body,47398,44769,
function_41ef50,unchanged_decompiled_body,47414,44785,
function_41efb0,modified_nonempty_body,47477,44848,
function_41eff0,unchanged_decompiled_body,47493,44877,
function_41f580,unchanged_decompiled_body,47636,45020,
function_41f800,unchanged_decompiled_body,47765,45149,
function_41f990,unchanged_decompiled_body,47908,45292,
function_41fbd0,unchanged_decompiled_body,48183,45567,
function_41fe90,original_short_body,48313,45697,
function_41fea0,modified_nonempty_body,48319,45703,
function_41fef0,original_short_body,48336,45720,
function_41ff00,original_short_body,48342,45726,
function_41ff10,unchanged_decompiled_body,48348,45732,
function_41ffe0,unchanged_decompiled_body,48371,45755,
function_4200e0,unchanged_decompiled_body,48398,45782,
function_4204f0,unchanged_decompiled_body,48769,46153,
function_420530,unchanged_decompiled_body,48787,46171,
function_4205b0,unchanged_decompiled_body,48817,46201,
function_4206d0,unchanged_decompiled_body,48876,46260,
function_420740,unchanged_decompiled_body,48908,46292,
function_4207c0,unchanged_decompiled_body,48924,46308,
function_4207e0,original_short_body,48932,46316,
function_4207f0,unchanged_decompiled_body,48940,46324,
function_420830,unchanged_decompiled_body,48960,46344,
function_420900,unchanged_decompiled_body,49004,46388,
function_420980,unchanged_decompiled_body,49039,46423,
function_4209b0,unchanged_decompiled_body,49053,46437,
function_420a10,unchanged_decompiled_body,49081,46465,
function_420a30,unchanged_decompiled_body,49092,46476,
function_420a80,unchanged_decompiled_body,49117,46501,
function_420a90,unchanged_decompiled_body,49126,46510,
function_420b20,unchanged_decompiled_body,49150,46534,
function_420b90,unchanged_decompiled_body,49172,46556,
function_420dc0,unchanged_decompiled_body,49321,46705,
function_420e40,unchanged_decompiled_body,49332,46716,
function_420ec0,unchanged_decompiled_body,49343,46727,
function_420f40,unchanged_decompiled_body,49354,46738,
function_420fc0,unchanged_decompiled_body,49365,46749,
function_4211d0,unchanged_decompiled_body,49638,47022,
function_4213d0,unchanged_decompiled_body,49791,47175,
function_421440,unchanged_decompiled_body,49800,47184,
function_421495,original_short_body,49819,47203,
function_4214a0,unchanged_decompiled_body,49825,47209,
function_4215af,unchanged_decompiled_body,49887,47271,
function_4216a0,unchanged_decompiled_body,50048,47432,
function_421860,modified_nonempty_body,50084,47468,
function_421dc0,unchanged_decompiled_body,50478,47862,
function_421e40,unchanged_decompiled_body,50529,47913,
function_4220c0,unchanged_decompiled_body,50718,48102,
function_422130,unchanged_decompiled_body,50807,48191,
function_422190,modified_nonempty_body,50892,48276,
function_422410,unchanged_decompiled_body,51231,48615,
function_4224b0,unchanged_decompiled_body,51290,48674,
function_422500,unchanged_decompiled_body,51324,48708,
function_422550,unchanged_decompiled_body,51343,48727,
function_422690,unchanged_decompiled_body,51389,48773,
function_4227d0,unchanged_decompiled_body,51435,48819,
function_422910,unchanged_decompiled_body,51481,48865,
function_422a60,unchanged_decompiled_body,51527,48911,
function_422b40,unchanged_decompiled_body,51547,48931,
function_422c20,unchanged_decompiled_body,51567,48951,
function_422d00,unchanged_decompiled_body,51587,48971,
function_422de0,unchanged_decompiled_body,51607,48991,
function_422ec0,unchanged_decompiled_body,51627,49011,
function_422fc0,unchanged_decompiled_body,51647,49031,
function_4230a0,unchanged_decompiled_body,51681,49065,
function_4231e0,unchanged_decompiled_body,51790,49174,
function_423350,unchanged_decompiled_body,51935,49319,
function_423430,unchanged_decompiled_body,52010,49394,
function_423560,unchanged_decompiled_body,52092,49476,
function_423620,unchanged_decompiled_body,52132,49516,
function_423640,modified_nonempty_body,52142,49526,
function_4236d4,original_short_body,52163,49547,
function_4236dc,unchanged_decompiled_body,52169,49553,
function_423700,unchanged_decompiled_body,52179,49563,
function_423757,unchanged_decompiled_body,52190,49574,
function_42376a,unchanged_decompiled_body,52199,49583,
function_423790,unchanged_decompiled_body,52209,49593,
function_4237b0,unchanged_decompiled_body,52216,49600,
function_423990,unchanged_decompiled_body,52478,49862,
function_423be0,unchanged_decompiled_body,52748,50132,
function_423cf0,unchanged_decompiled_body,52796,50180,
function_423d60,unchanged_decompiled_body,52813,50197,
function_423dd0,unchanged_decompiled_body,52829,50213,
function_423e70,unchanged_decompiled_body,52846,50230,
function_423f00,unchanged_decompiled_body,52867,50251,
function_423f50,unchanged_decompiled_body,52881,50265,
function_423f90,original_short_body,52889,50273,
function_423fd0,unchanged_decompiled_body,52895,50279,
function_424060,unchanged_decompiled_body,52916,50300,
function_4240f0,unchanged_decompiled_body,52937,50321,
function_424180,unchanged_decompiled_body,52958,50342,
function_4241f9,unchanged_decompiled_body,52979,50363,
function_424280,unchanged_decompiled_body,52996,50380,
function_424320,unchanged_decompiled_body,53015,50399,
function_424350,unchanged_decompiled_body,53047,50431,
function_424430,unchanged_decompiled_body,53076,50460,
function_4247f0,unchanged_decompiled_body,53085,50469,
function_424f60,unchanged_decompiled_body,53103,50487,
function_424640,unchanged_decompiled_body,53138,50522,
function_4248e0,unchanged_decompiled_body,53145,50529,
function_424720,unchanged_decompiled_body,53158,50542,
function_4249d0,unchanged_decompiled_body,53301,50685,
function_424bb0,unchanged_decompiled_body,53383,50767,
function_424d60,unchanged_decompiled_body,53454,50838,
function_424da0,unchanged_decompiled_body,53474,50858,
function_425030,unchanged_decompiled_body,53631,51015,
function_4250e0,unchanged_decompiled_body,53663,51047,
function_4252d0,original_short_body,53734,51118,
function_4252e0,unchanged_decompiled_body,53740,51124,
function_4252f0,original_short_body,53747,51131,
function_425300,unchanged_decompiled_body,53755,51139,
function_425320,unchanged_decompiled_body,53770,51154,
function_425350,modified_nonempty_body,53789,51173,
function_4253d0,unchanged_decompiled_body,53801,51185,
function_425420,unchanged_decompiled_body,53827,51211,
function_425510,unchanged_decompiled_body,53915,51299,
function_4255e0,unchanged_decompiled_body,53988,51372,
function_4258a0,original_short_body,54118,51502,
function_4258b0,modified_nonempty_body,54124,51508,
function_425900,original_short_body,54141,51525,
function_425910,unchanged_decompiled_body,54147,51531,
function_4259e0,unchanged_decompiled_body,54176,51560,
function_425ae0,unchanged_decompiled_body,54201,51585,
function_425ef0,unchanged_decompiled_body,54572,51956,
function_426090,unchanged_decompiled_body,54608,51992,
function_425fd0,unchanged_decompiled_body,54617,52001,
function_426030,unchanged_decompiled_body,54667,52051,
function_426060,unchanged_decompiled_body,54679,52063,
function_4260d0,unchanged_decompiled_body,54713,52097,
function_426120,unchanged_decompiled_body,54740,52124,
function_4261f0,unchanged_decompiled_body,54781,52165,
function_426250,unchanged_decompiled_body,54805,52189,
function_426390,unchanged_decompiled_body,54851,52235,
function_4263c0,original_short_body,54875,52259,
function_4263e0,unchanged_decompiled_body,54881,52265,
function_426470,unchanged_decompiled_body,54902,52286,
function_426500,unchanged_decompiled_body,54923,52307,
function_426530,original_short_body,54959,52343,
function_426540,unchanged_decompiled_body,54967,52351,
function_426560,unchanged_decompiled_body,54981,52365,
function_4265e0,unchanged_decompiled_body,55013,52397,
function_426650,unchanged_decompiled_body,55042,52426,
function_426740,unchanged_decompiled_body,55078,52462,
function_426840,modified_nonempty_body,55139,52523,
function_4269f0,unchanged_decompiled_body,55204,52588,
function_426b30,original_short_body,55280,52664,
function_426b40,modified_nonempty_body,55286,52670,
function_426b90,original_short_body,55303,52687,
function_426ba0,unchanged_decompiled_body,55309,52693,
function_426c70,unchanged_decompiled_body,55337,52721,
function_426d70,unchanged_decompiled_body,55362,52746,
function_4271b0,unchanged_decompiled_body,55733,53117,
function_4272f0,original_short_body,55778,53162,
function_427310,unchanged_decompiled_body,55784,53168,
function_4273a0,unchanged_decompiled_body,55805,53189,
function_427520,original_short_body,55873,53257,
function_427530,modified_nonempty_body,55881,53284,
function_427610,unchanged_decompiled_body,55919,53323,
function_427750,modified_nonempty_body,55995,53399,
function_427950,replacement_mapping_unresolved,56034,,
function_428000,modified_nonempty_body,56668,53534,
function_428150,unchanged_decompiled_body,56690,53567,
function_428720,unchanged_decompiled_body,57160,54037,
function_4289c0,modified_nonempty_body,57460,54337,
function_428af0,unchanged_decompiled_body,57612,54489,
function_428bd0,unchanged_decompiled_body,57746,54623,
function_428cc0,unchanged_decompiled_body,57882,54759,
function_428f80,original_short_body,58012,54889,
function_428f90,modified_nonempty_body,58018,54895,
function_428fe0,original_short_body,58035,54912,
function_428ff0,modified_nonempty_body,58041,54918,
function_4290c0,unchanged_decompiled_body,58064,54941,
function_4291c0,unchanged_decompiled_body,58091,54968,
function_4295d0,unchanged_decompiled_body,58461,55338,
function_429630,unchanged_decompiled_body,58511,55388,
function_4296a0,unchanged_decompiled_body,58544,55421,
function_429720,unchanged_decompiled_body,58583,55460,
function_429780,unchanged_decompiled_body,58613,55490,
function_4297e0,unchanged_decompiled_body,58640,55517,
function_429840,unchanged_decompiled_body,58669,55546,
function_4298a0,unchanged_decompiled_body,58696,55573,
function_4298d0,unchanged_decompiled_body,58708,55585,
function_429910,unchanged_decompiled_body,58737,55614,
function_429920,unchanged_decompiled_body,58744,55621,
function_4299c0,modified_nonempty_body,58883,55760,
function_429c20,unchanged_decompiled_body,59255,56132,
function_429c70,modified_nonempty_body,59292,56169,
function_429cb0,unchanged_decompiled_body,59323,56174,
function_429d10,unchanged_decompiled_body,59357,56208,
function_429d70,unchanged_decompiled_body,59376,56227,
function_429d90,unchanged_decompiled_body,59397,56248,
function_429de0,unchanged_decompiled_body,59449,56300,
function_429e00,unchanged_decompiled_body,59470,56321,
function_429f40,unchanged_decompiled_body,59516,56367,
function_42a080,unchanged_decompiled_body,59562,56413,
function_42a1d0,unchanged_decompiled_body,59608,56459,
function_42a310,unchanged_decompiled_body,59654,56505,
function_42a3e0,unchanged_decompiled_body,59729,56580,
function_42a510,unchanged_decompiled_body,59814,56665,
function_42a530,original_short_body,59823,56674,
function_42a570,original_short_body,59829,56680,
function_42a5a0,original_short_body,59835,56686,
function_42a5c0,unchanged_decompiled_body,59841,56692,
function_42a7a0,unchanged_decompiled_body,60094,56945,
function_42a800,unchanged_decompiled_body,60123,56974,
function_42a900,unchanged_decompiled_body,60175,57026,
function_42a9a0,unchanged_decompiled_body,60216,57067,
